id,question,optionA,optionB,optionC,optionD,answerLetter,answerText,category,difficulty,source,explanation
TH170626-034,How much calcium carbide was reported among hazardous cargo in the MSC Elsa 3 case?,339.20 tonnes,22 tonnes,30.4 tonnes,880.52 tonnes,A,339.20 tonnes,Environment,Hard,Page 3,"Many containers carried hazardous cargo, including 339.20 tonnes of calcium carbide."
TH170626-035,Which former Tamil Nadu Health Minister resigned as Viralimalai MLA and quit AIADMK?,T.T.V. Dhinakaran,C. Vijayabaskar,J.C.D. Prabhakar,Edappadi K. Palaniswami,B,C. Vijayabaskar,Politics,Easy,Page 3,C. Vijayabaskar resigned from the Assembly and quit AIADMK.
TH170626-036,"How many AIADMK MLAs had resigned from the Assembly after the 2026 election, including C. Vijayabaskar?",Two,Five,Ten,One,B,Five,Politics,Medium,Page 3,The report said he was the fifth AIADMK MLA to resign after the 2026 election.
TH170626-037,The Indian mariner Nishanth Uirthanathan died onboard which ship?,Umm Al Ashtan,MSC Elsa 3,INS Vikrant,MT Celestial Sea,D,MT Celestial Sea,National,Easy,Page 4,He was a second officer on MT Celestial Sea.
TH170626-038,Nishanth Uirthanathan was a second officer from which Tamil Nadu neighbourhood listed as his home address?,Hauz Rani in Delhi,Kurseong in Darjeeling,Perambra in Kozhikode,Theresapuram in Thoothukudi,D,Theresapuram in Thoothukudi,National,Medium,Page 4,His home address was listed as Theresapuram in Thoothukudi.
TH170626-039,Which port in Oman was MT Celestial Sea near when the crew sought help?,Salalah,Sohar,Muscat,Duqm,D,Duqm,National,Medium,Page 4,The story describes the ship as being not far from Oman's Duqm port.
TH170626-040,Medicinal syrups including cough syrups can no longer be sold without what?,A doctor's prescription,A passport copy,A GST invoice,A hospital admission slip,A,A doctor's prescription,Health,Easy,Page 4,The Health Ministry notification ended over-the-counter sale of cough syrups.
TH170626-041,Which cough-related products were still available over the counter after the rule change?,Industrial solvents,"Lozenges, pills and tablets",Injectable antibiotics,All syrups,B,"Lozenges, pills and tablets",Health,Medium,Page 4,"Cough lozenges, pills and tablets remained in the exempted list."
TH170626-042,The cough syrup rule followed concerns including deaths of how many children in Madhya Pradesh last September?,15,140,24,705,C,24,Health,Hard,Page 4,The report mentions 24 children died in Madhya Pradesh last September.
TH170626-043,Satyaki Savarkar told a Pune court that V.D. Savarkar had submitted how many clemency petitions?,44,0,10,2,C,10,History & Polity,Medium,Page 4,Satyaki Savarkar testified that there were 10 clemency petitions.
TH170626-044,Prime Minister Modi held bilateral talks with which Canadian leader at the G7 Summit?,Mohamed bin Zayed,Mark Carney,Justin Trudeau,Keir Starmer,B,Mark Carney,International Relations,Easy,Page 4,The report says Modi met Canadian Prime Minister Mark Carney.
TH170626-045,Canada's Cameco and India's Department of Atomic Energy signed a CAD $2.6 billion agreement for long-term supply of what?,Wheat,Liquefied natural gas,Uranium,Gold,C,Uranium,International Relations,Hard,Page 4,The agreement was for long-term supply of uranium from 2027 to 2035.
TH170626-046,"Which U.K. Prime Minister met Mr. Modi on the G7 sidelines, according to the report?",Boris Johnson,Rishi Sunak,David Cameron,Keir Starmer,D,Keir Starmer,International Relations,Easy,Page 4,Mr. Modi held a bilateral meeting with U.K. Prime Minister Keir Starmer.
TH170626-047,Who demanded a time-bound judicial probe into missing Ram Temple donations?,World Gold Council,Indian Air Force,Uttar Pradesh Congress leaders,Kerala High Court,C,Uttar Pradesh Congress leaders,Politics,Medium,Page 5,U.P. Congress leaders demanded a probe by a sitting High Court judge.
TH170626-048,The BJP was considering increasing national office-bearers from 45 to what number?,100,30,75,60,D,60,Politics,Medium,Page 5,One proposal was to increase BJP national office-bearers from 45 to 60.
TH170626-049,A Delhi court allowed which accused medical student to appear for the NEET-UG 2026 re-test?,Pavel Durov,Abhishek Singh,Satyaki Savarkar,Yash Yadav,D,Yash Yadav,National,Medium,Page 6,Yash Yadav was permitted to appear for the June 21 re-test.
TH170626-050,Which force began ferrying NEET question papers by aircraft to more than 20 locations?,Indian Navy,State police only,Border Security Force,Indian Air Force,D,Indian Air Force,National,Easy,Page 6,The Indian Air Force started ferrying NEET papers by aircraft.
TH170626-051,Which helicopter type was mentioned for onward movement of NEET papers to remote areas?,Chinook CH-47 only,Dhruv only,Apache AH-64,Mi-17,D,Mi-17,National,Medium,Page 6,Mi-17 helicopters were mentioned for onward movement to remote areas.
TH170626-052,Canada's request to become a dialogue partner was being examined by which Indian Ocean body?,G20,SAARC,Indian Ocean Rim Association (IORA),Quad,C,Indian Ocean Rim Association (IORA),International Relations,Medium,Page 6,IORA's Secretary-General said Canada's request was being examined.
TH170626-053,The forest biodiversity study analysed data from 322 community-managed tropical forests across how many countries?,100,5,15,60,C,15,Science,Hard,Page 7,The dataset covered 322 forests in 15 countries from 1993 to 2017.
TH170626-054,"According to the forest study, forests with greater dependence on fuelwood tended to have what?",Higher gold reserves,Lower tree species diversity,More glaciers,No human presence,B,Lower tree species diversity,Science,Medium,Page 7,Forests with more fuelwood-dependent communities had less diverse tree species.
TH170626-055,GRAPES-3 in Ooty is described as what kind of telescope/detector?,X-ray medical scanner,Weather radar,Muon detector,Radio telescope only,C,Muon detector,Science,Medium,Page 7,GRAPES-3 does not look at light like a traditional telescope; it detects muons.
TH170626-056,The H-1B ruling struck down which Trump policy?,A new cricket league fee,A tax cut for universities,A complete ban on all visas,"A $100,000 supplemental fee on H-1B petitions",D,"A $100,000 supplemental fee on H-1B petitions",Text & Context,Medium,Page 10,"Judge Leo T. Sorokin struck down the $100,000 H-1B fee policy."
TH170626-057,"For most private employers, the H-1B annual cap is 65,000 visas plus how many for advanced-degree holders?","70,000","5,000","20,000","100,000",C,"20,000",Text & Context,Hard,Page 10,"The H-1B cap is 65,000 plus 20,000 additional visas for advanced-degree holders."
TH170626-058,Which Constitutional Amendment introduced India's anti-defection law through the Tenth Schedule?,52nd Amendment,44th Amendment,101st Amendment,73rd Amendment,A,52nd Amendment,Polity,Hard,Page 10,The 52nd Constitutional Amendment introduced the Tenth Schedule in 1985.
TH170626-059,"Which paragraph of the Tenth Schedule, dealing with splits, was omitted in 2003?",Paragraph 10,Paragraph 4,Paragraph 3,Paragraph 1,C,Paragraph 3,Polity,Hard,Page 10,"Paragraph 3, which allowed one-third splits, was omitted in 2003."
TH170626-060,The article on urban water emergency said nearly what share of water can be lost before it reaches users in some systems?,3%,5%,80%,30%,D,30%,Urban Issues,Medium,Page 11,It noted that nearly 30% of water can be lost before reaching users.
TH170626-061,"According to the World Gold Council survey, central banks accumulated an average of how much gold over the past four years?","5,000 tonnes",100 tonnes,10 tonnes,"1,000 tonnes",D,"1,000 tonnes",Business,Medium,Page 12,"Central banks accumulated an average of 1,000 tonnes of gold over the past four years."
TH170626-062,The GIC Re offer for sale was oversubscribed by how many times on day one?,10 times,0.5 times,3.72 times,1.1 times,C,3.72 times,Business,Medium,Page 12,The government said the GIC Re OFS was oversubscribed 3.72 times on day one.
TH170626-063,What kind of ships were expected to headline Strait of Hormuz exits because they are critical for India's fertilizer making?,Fishing trawlers,Aircraft carriers,Cruise ships,LNG ships,D,LNG ships,Business,Medium,Page 12,The report said LNG ships were a focus because LNG is important for fertilizer production.
TH170626-064,India's textile and apparel exports in FY26 were reported at approximately what value?,$500 million,$100 billion,$35.80 billion,$3.58 billion,C,$35.80 billion,Business,Hard,Page 12,FY26 textile and apparel exports were reported at $35.80 billion.
TH170626-065,KPMG's scandal in Australia related to allegedly sharing what type of information?,Cricket team lists,School textbook photos,Confidential company information,Weather data,C,Confidential company information,Business,Medium,Page 13,KPMG allegedly shared confidential company information with prospective private-sector clients.
TH170626-066,New federal Australian government contracts signed by the Big Four fell to A$348 million in 2025 from what amount the prior year?,A$65 million,A$1 billion,A$30 million,A$637 million,D,A$637 million,Business,Hard,Page 13,Reuters analysis showed a fall from A$637 million to A$348 million.
TH170626-067,"India's record-breaking peak power demand exceeded what level, according to the Business page analysis?",270 GW,100 MW,27 GW,"2,700 GW",A,270 GW,Business,Medium,Page 13,The analysis said peak demand exceeded 270 GW.
TH170626-068,The 2047 target for India's per capita electricity consumption was given as approximately what?,"4,000 kWh","40,000 kWh","1,000 kWh",400 kWh,A,"4,000 kWh",Business,Hard,Page 13,"The target was approximately 4,000 kWh, up from the current level of 1,600 kWh."
TH170626-069,"A Ukrainian drone hit what facility just outside Moscow, triggering a fire?",A school,A railway museum,An oil refinery,A football stadium,C,An oil refinery,World,Easy,Page 14,The report says a drone hit a major oil refinery just outside Moscow.
TH170626-070,Who did Donald Trump suggest should deal with Hezbollah if Israel could not do it without heavy casualties?,Qatar's Emir,Syrian President Ahmed al-Sharaa,Ukrainian President Volodymyr Zelensky,Iranian Foreign Minister Abbas Araghchi,B,Syrian President Ahmed al-Sharaa,World,Medium,Page 14,Mr. Trump suggested Syrian President Ahmed al-Sharaa should deal with Hezbollah.
TH170626-071,UNICEF warned that how many children are exposed to at least three overlapping climate hazards?,1.1 billion,1.1 million,296 million only,"11,000",A,1.1 billion,World,Medium,Page 15,UNICEF said 1.1 billion children are exposed to at least three risks.
TH170626-072,Which combination of climate risks was the most common for children in UNICEF's report?,"Earthquakes, tsunamis and volcanoes","Smog, landslides and lightning only","Drought, extreme heat and heat waves","Cyclones, avalanches and hailstorms",C,"Drought, extreme heat and heat waves",World,Medium,Page 15,"The most common combination was drought, extreme heat and heat waves."
TH170626-073,"In Herat, protesters used a slogan inspired by Iran's 2022 movement. What was the slogan?","Jobs, Roads and Power","Women, Work and Freedom","Water, Forest and Climate","Bread, Peace and Land",B,"Women, Work and Freedom",World,Medium,Page 15,"Women and men chanted 'Women, Work and Freedom' in Herat."
TH170626-074,Who became the first footballer of Indian origin to start a FIFA World Cup match?,Tino Livramento,Herve Renard,Sarpreet Singh,Trevoh Chalobah,C,Sarpreet Singh,Sports,Easy,Page 16,New Zealand midfielder Sarpreet Singh was reported as the first footballer of Indian origin to start a FIFA World Cup match.
TH170626-075,Tunisia appointed which French coach after firing Sabri Lamouchi?,Darren Bazeley,Trevoh Chalobah,Herve Renard,Amir Ghalenoei,C,Herve Renard,Sports,Medium,Page 16,Tunisia appointed Herve Renard after losing 5-1 to Sweden.
TH170626-076,India's women were set to face which team at Headingley in the Women's T20 World Cup?,Australia,Netherlands,England,Pakistan,B,Netherlands,Sports,Easy,Page 16,The report previewed India versus the Netherlands at Headingley.
TH170626-077,Rahmanullah Gurbaz scored how many runs off 51 balls in the rain-curtailed ODI against India?,102,51,84 not out,39 not out,A,102,Sports,Medium,Page 17,Gurbaz smashed a 51-ball 102 for Afghanistan.
TH170626-078,Which stadium was described as Afghanistan's 'home away from home' before the second ODI against India?,Edgbaston,Ekana Cricket Stadium,Headingley,Wankhede Stadium,B,Ekana Cricket Stadium,Sports,Medium,Page 17,The Ekana Cricket Stadium in Lucknow was described as a bittersweet venue and home away from home for Afghanistan.
TH170626-079,"In the Rohit Sharma analysis, how many runs did he finish with in IPL 2026?",78,165.84,283,39,C,283,Sports,Hard,Page 18,The article says Rohit ended IPL 2026 with 283 runs at a strike-rate of 157.22.
TH170626-080,"Who replaced Rishabh Pant as India's Test vice-captain, according to the sports analysis?",K.L. Rahul,Tilak Varma,Virat Kohli,Axar Patel,A,K.L. Rahul,Sports,Medium,Page 18,The article notes Rishabh Pant lost the responsibility to K.L. Rahul.
